 ,Label,Area,Mean,Min,Max,X,Y,XM,YM,Perim.,Major,Minor,Angle,IntDen,RawIntDen
1,pperpot_6K-2.tif:0001-0015,0.060573,17788,10240,28202,8.112939,12.118141,8.113629,12.117228,0.960936,0.312522,0.246779,141.858252,1077.471794,6421468
2,pperpot_6K-2.tif:0002-0015,0.132052,26488.404066,12850,42710,8.166679,0.173604,8.166634,0.17261,1.380431,0.46002,0.365494,176.031102,3497.857499,20846374
3,pperpot_6K-2.tif:0003-0017,0.124837,24723.997312,11225,39577,8.713135,0.193414,8.710933,0.192225,1.383574,0.417102,0.381077,121.360795,3086.478178,18394654
4,pperpot_6K-2.tif:0004-0053,0.115777,25306.771014,14571,37449,8.703223,0.700501,8.702714,0.70038,1.28309,0.42054,0.350529,84.332441,2929.931141,17461672
5,pperpot_6K-2.tif:0005-0053,0.146147,25540.195178,10286,45056,9.263129,0.689545,9.262096,0.692269,1.430943,0.440285,0.422635,117.289914,3732.621509,22245510
6,pperpot_6K-2.tif:0006-0058,0.15806,23135.319533,11132,37385,5.456872,0.72395,5.458204,0.727283,1.526983,0.471435,0.426885,101.340392,3656.772922,21793471
7,pperpot_6K-2.tif:0007-0059,0.154033,24136.706972,11233,39357,6.555255,0.752754,6.554466,0.756906,1.545302,0.502177,0.390542,82.335148,3717.85362,22157497
8,pperpot_6K-2.tif:0008-0054,0.103696,25663.203883,12026,41307,8.169546,0.702526,8.169648,0.70194,1.221847,0.389888,0.338634,108.38962,2661.159693,15859860
9,pperpot_6K-2.tif:0009-0057,0.133059,24745.384615,11071,40269,6.010201,0.729616,6.011585,0.732917,1.365255,0.440943,0.384214,97.882843,3292.600071,19623090
10,pperpot_6K-2.tif:0010-0058,0.117958,23609.072546,10926,36667,7.092277,0.750241,7.092733,0.75253,1.331761,0.430868,0.348572,89.960043,2784.875851,16597178
11,pperpot_6K-2.tif:0011-0060,0.113931,25423.759941,8717,39499,7.627385,0.772352,7.62789,0.773439,1.293821,0.427697,0.339168,107.56235,2896.550742,17262733
12,pperpot_6K-2.tif:0012-0094,0.105206,24288.055821,12484,36719,5.451764,1.243336,5.452256,1.245617,1.307156,0.433342,0.309114,77.234447,2555.241079,15228611
13,pperpot_6K-2.tif:0013-0100,0.168799,23606.572565,11092,39579,4.406507,1.275002,4.407941,1.277599,1.672233,0.50277,0.427475,72.364938,3984.763078,23748212
14,pperpot_6K-2.tif:0014-0100,0.1094,24706.868098,12663,38162,6.536968,1.285671,6.536438,1.286097,1.357667,0.453514,0.307142,87.97176,2702.942954,16108878
15,pperpot_6K-2.tif:0015-0100,0.155543,25560.803668,12821,43660,9.811478,1.286144,9.807277,1.290021,1.502917,0.475264,0.416703,87.393404,3975.811872,23694865
16,pperpot_6K-2.tif:0016-0100,0.10487,24585.056,12209,36047,7.624003,1.299191,7.62319,1.298696,1.249595,0.424683,0.314411,88.994659,2578.236822,15365660
17,pperpot_6K-2.tif:0017-0098,0.126515,24240.104775,12288,45857,4.895188,1.2726,4.899929,1.27656,1.372843,0.42727,0.377008,178.365989,3066.743306,18277039
18,pperpot_6K-2.tif:0018-0098,0.093125,25140.643243,12288,36090,8.182467,1.275963,8.183531,1.274725,1.13784,0.367471,0.322665,75.376056,2341.213156,13953057
19,pperpot_6K-2.tif:0019-0100,0.104367,25813.188103,11101,41005,9.254123,1.309757,9.255726,1.309192,1.228133,0.400309,0.331953,98.52272,2694.037386,16055803
20,pperpot_6K-2.tif:0020-0102,0.096145,24868.268761,13596,39117,5.970584,1.298929,5.967866,1.297541,1.235721,0.414084,0.295629,89.668571,2390.956979,14249518
21,pperpot_6K-2.tif:0021-0099,0.094299,24360.234875,13819,38912,7.082408,1.287901,7.083798,1.289542,1.147269,0.385119,0.311762,47.157521,2297.150104,13690452
22,pperpot_6K-2.tif:0022-0101,0.102018,25243.991776,12563,37781,8.705769,1.309578,8.706318,1.307841,1.209814,0.371893,0.349275,60.64066,2575.331837,15348347
23,pperpot_6K-2.tif:0023-0106,0.093964,21790.819643,11075,32675,10.255856,1.355603,10.253157,1.357892,1.211116,0.417137,0.286808,132.264522,2047.543705,12202859
24,pperpot_6K-2.tif:0024-0137,0.084567,23940.013889,13929,39134,6.546972,1.795545,6.546235,1.795337,1.144126,0.386883,0.278312,84.626665,2024.540747,12065767
25,pperpot_6K-2.tif:0025-0139,0.12232,26041.259259,12894,39167,10.307658,1.810561,10.307694,1.813396,1.386717,0.465272,0.334736,82.395327,3185.378886,18984078
